gene,evalue,hit,species,kTotal,kWithin,kOut,kDiff,behavioral_category,fire_ant_ortholog,honey_bee_ortholog,fpkm,ortholog,dN/dS
XLOC_000053,6.79E-77,gi|307185183|gb|EFN71322.1| Retrovirus-related Pol polyprotein from transposon TNT 1-94,Camponotus floridanus,583.2015693,286.739961,296.4616082,-9.721647216,all others,0,0,12.21333333,neither,NA
XLOC_000054,NA,,,236.4451193,84.65395742,151.7911619,-67.13720444,all others,0,1,1.922916667,Amel only,NA
XLOC_000055,1.33E-41,gi|332022507|gb|EGI62810.1| Homeobox protein DBX1-B,Acromyrmex echinatior,239.9382784,80.22660831,159.7116701,-79.48506177,all others,0,0,3.542916667,neither,NA
XLOC_000056,0,gi|307166574|gb|EFN60637.1| Integrator complex subunit 3,Camponotus floridanus,435.3289158,162.1019354,273.2269804,-111.1250451,all others,1,0,11.93333333,Sinv only,0.0579
XLOC_000057,4.85E-15,gi|307174005|gb|EFN64715.1| THAP domain-containing protein 11,Camponotus floridanus,260.4367522,107.8656158,152.5711364,-44.70552057,all others,0,1,15.11458333,Amel only,NA
XLOC_000058,1.63E-06,gi|347967920|ref|XP_563719.3| AGAP002461-PA,Anopheles gambiae str. PEST,1297.236315,664.1022404,633.1340749,30.96816554,forager,0,0,25.79125,neither,NA
XLOC_000060,1.90E-68,gi|307182755|gb|EFN69878.1| Putative serine/threonine-protein kinase C05D10.2,Camponotus floridanus,251.4507122,117.0407849,134.4099273,-17.36914244,all others,0,0,3.375416667,neither,NA
XLOC_000061,2.47E-41,gi|307167911|gb|EFN61288.1| SH3 domain-containing RING finger protein 3,Camponotus floridanus,97.58677292,12.95348158,84.63329134,-71.67980976,all others,0,0,4.105,neither,NA
XLOC_000062,9.37E-57,gi|307167911|gb|EFN61288.1| SH3 domain-containing RING finger protein 3,Camponotus floridanus,505.0084717,326.5704609,178.4380109,148.13245,all others,1,0,6.2625,Sinv only,0.1496
XLOC_000063,NA,,,1063.394092,670.1290733,393.265019,276.8640543,all others,0,0,1.46,neither,NA
XLOC_000064,NA,,,1000.900108,518.5661029,482.3340055,36.23209732,all others,0,0,6.134166667,neither,NA
XLOC_000065,0,gi|307210248|gb|EFN86898.1| Tubulin-specific chaperone E,Harpegnathos saltator,1792.617402,1076.224013,716.3933888,359.8306243,all others,0,1,5.112916667,Amel only,NA
XLOC_000066,0,gi|332026203|gb|EGI66345.1| TFIIH basal transcription factor complex helicase subunit,Acromyrmex echinatior,343.7337832,181.9411011,161.7926822,20.1484189,all others,1,1,5.912083333,both,0.0112
XLOC_000067,0,gi|332031620|gb|EGI71092.1| Xylosyltransferase oxt,Acromyrmex echinatior,1041.202056,542.4847261,498.7173301,43.76739604,all others,1,1,9.81,both,0.143
XLOC_000068,0,gi|332031621|gb|EGI71093.1| Protein SGT1-like protein ecdysoneless,Acromyrmex echinatior,565.2248594,361.7132,203.5116594,158.2015406,forager,1,1,3.767083333,both,0.0732
XLOC_000070,2.11E-139,gi|332024417|gb|EGI64615.1| Golgi SNAP receptor complex member 1,Acromyrmex echinatior,889.6457465,131.3113731,758.3343734,-627.0230003,all others,0,1,14.33125,Amel only,NA
XLOC_000071,0,gi|332024416|gb|EGI64614.1| Protein strawberry notch,Acromyrmex echinatior,1094.066032,721.045297,373.0207346,348.0245624,all others,1,0,7.0525,Sinv only,0.0455
XLOC_000072,NA,,,1260.574784,750.663301,509.9114832,240.7518179,all others,0,0,5.593333333,neither,NA
XLOC_000073,1.64E-113,gi|307185031|gb|EFN71260.1| Tetratricopeptide repeat protein 27,Camponotus floridanus,1110.590515,622.5157926,488.0747224,134.4410702,all others,1,1,16.15666667,both,0.2177
XLOC_000074,3.93E-131,gi|307185032|gb|EFN71261.1| Transmembrane protein 86A,Camponotus floridanus,258.2472751,77.26940338,180.9778717,-103.7084684,nurse,1,1,7.100416667,both,0.453
XLOC_000077,0,gi|332016946|gb|EGI57755.1| Protein tiptop,Acromyrmex echinatior,478.9129652,284.999852,193.9131131,91.0867389,all others,1,0,5.870416667,Sinv only,0.084
XLOC_000079,5.40E-24,gi|307186406|gb|EFN72040.1| NTF2-related export protein,Camponotus floridanus,545.4850692,122.6465503,422.8385188,-300.1919685,all others,0,0,13.32291667,neither,NA
XLOC_000080,9.85E-107,gi|332019901|gb|EGI60362.1| Putative proteasome inhibitor,Acromyrmex echinatior,347.4560659,49.29152542,298.1645405,-248.8730151,all others,1,1,54.34333333,both,0.4025
XLOC_000082,7.07E-36,gi|357540561|gb|EHJ24574.1| subtilisin-like serine protease,Pediococcus acidilactici MA18/5M,552.5777105,320.0031169,232.5745936,87.42852328,all others,1,1,8.320833333,both,0.3227
XLOC_000083,NA,,,668.1392402,355.7707324,312.3685078,43.40222457,all others,0,0,20.07875,neither,NA
XLOC_000084,4.78E-24,gi|307192728|gb|EFN75836.1| High mobility group protein DSP1,Harpegnathos saltator,286.3933962,112.5327718,173.8606244,-61.32785263,all others,0,0,9.225416667,neither,NA
XLOC_000085,8.33E-38,gi|332023444|gb|EGI63687.1| Serine protease gd,Acromyrmex echinatior,424.0708079,83.36900115,340.7018068,-257.3328056,all others,0,0,11.44791667,neither,NA
XLOC_000086,NA,,,600.8745302,347.2306682,253.643862,93.58680623,all others,0,0,3.795833333,neither,NA
XLOC_000087,1.42E-87,gi|307214943|gb|EFN89788.1| Protein unc-13-like protein A,Harpegnathos saltator,368.5484639,191.4221396,177.1263242,14.2958154,all others,1,0,3.563333333,Sinv only,0.1931
XLOC_000088,NA,,,209.9955782,82.27516499,127.7204132,-45.44524826,all others,0,0,1.355416667,neither,NA
XLOC_000089,0,gi|332019222|gb|EGI59732.1| Rap1 GTPase-activating protein 1,Acromyrmex echinatior,388.4037893,90.07351185,298.3302775,-208.2567656,all others,1,1,12.36416667,both,0.079
XLOC_000090,NA,,,291.3021466,88.39272029,202.9094263,-114.516706,all others,0,0,2.625833333,neither,NA
XLOC_000091,8.50E-95,gi|307183733|gb|EFN70407.1| Protein lozenge,Camponotus floridanus,424.5677044,239.082721,185.4849834,53.59773755,all others,1,1,1.667916667,both,0.0168
XLOC_000093,NA,,,110.582313,39.56447353,71.01783942,-31.45336588,all others,0,0,6.98625,neither,NA
XLOC_000094,NA,,,147.9408338,64.52879055,83.41204329,-18.88325275,all others,0,0,1.475416667,neither,NA
XLOC_000095,1.53E-29,gi|307172875|gb|EFN64067.1| Uncharacterized transposase-like protein HI1328.1,Camponotus floridanus,220.7786206,24.33764971,196.4409709,-172.1033211,all others,0,0,1.276666667,neither,NA
XLOC_000096,8.81E-148,gi|170070248|ref|XP_001869513.1| histone deacetylase,Culex quinquefasciatus,977.2743098,638.6961194,338.5781904,300.1179289,all others,0,0,10.32333333,neither,NA
XLOC_000097,0,"gi|307195355|gb|EFN77273.1| Alpha-actinin, sarcomeric",Harpegnathos saltator,557.9751635,274.3608292,283.6143344,-9.253505202,nurse,1,1,148.6904167,both,0.0108
XLOC_000098,0,gi|332024084|gb|EGI64301.1| SET and MYND domain-containing protein 3,Acromyrmex echinatior,795.0745384,228.8012497,566.2732887,-337.4720389,all others,0,1,50.93583333,Amel only,NA
XLOC_000099,NA,,,247.7163411,111.5919776,136.1243635,-24.53238596,all others,0,0,2.653333333,neither,NA
XLOC_000100,NA,,,236.08004,120.8614443,115.2185957,5.642848572,all others,0,0,1.61375,neither,NA
XLOC_000101,3.31E-36,gi|332030601|gb|EGI70289.1| Integrin alpha-PS4,Acromyrmex echinatior,641.4771118,294.3450905,347.1320213,-52.78693077,all others,0,0,3.325,neither,NA
XLOC_000102,NA,,,900.1793064,640.9153623,259.2639441,381.6514183,forager,0,0,5.61375,neither,NA
XLOC_000103,0,gi|307179816|gb|EFN68003.1| SEC23-interacting protein,Camponotus floridanus,516.2629056,146.3321006,369.930805,-223.5987044,all others,1,1,41.4175,both,0.2151
XLOC_000104,3.46E-22,gi|307196543|gb|EFN78073.1| Lysyl oxidase-like protein 4,Harpegnathos saltator,362.8029371,210.389652,152.4132851,57.97636686,all others,0,0,67.06041667,neither,NA
XLOC_000105,6.28E-24,gi|307196543|gb|EFN78073.1| Lysyl oxidase-like protein 4,Harpegnathos saltator,577.726576,358.7828338,218.9437421,139.8390917,forager,0,0,2.4675,neither,NA
XLOC_000106,NA,,,626.4275643,251.7738012,374.6537631,-122.8799619,nurse,0,0,5.769583333,neither,NA
XLOC_000107,2.26E-65,gi|332028147|gb|EGI68198.1| Vacuolar protein sorting-associated protein 72-like protein,Acromyrmex echinatior,516.0442736,197.8182052,318.2260683,-120.4078631,all others,0,1,7.972916667,Amel only,NA
XLOC_000108,3.50E-79,gi|332025660|gb|EGI65822.1| Protein CDV3-like protein,Acromyrmex echinatior,907.7934785,633.4698856,274.3235928,359.1462928,forager,0,1,36.23291667,Amel only,NA
XLOC_000109,1.62E-39,gi|332018494|gb|EGI59084.1| Uncharacterized protein C3orf18-like protein,Acromyrmex echinatior,229.9228778,14.30125165,215.6216262,-201.3203745,all others,0,0,32.13416667,neither,NA
XLOC_000110,2.16E-55,gi|332018494|gb|EGI59084.1| Uncharacterized protein C3orf18-like protein,Acromyrmex echinatior,1070.111847,570.8307219,499.2811248,71.54959712,all others,0,1,12.13333333,Amel only,NA
XLOC_000111,1.26E-12,gi|332023176|gb|EGI63432.1| Guanine nucleotide-binding protein G(i) subunit alpha,Acromyrmex echinatior,1304.176635,726.0471822,578.1294533,147.9177289,forager,1,0,4.430833333,Sinv only,0.9398
XLOC_000112,NA,,,256.8633463,106.3864995,150.4768468,-44.09034729,all others,0,0,3.662916667,neither,NA
XLOC_000113,NA,,,176.71217,71.81572873,104.8964413,-33.08071256,all others,0,0,3.04875,neither,NA
XLOC_000114,NA,,,1239.943845,703.6394627,536.3043821,167.3350806,forager,0,0,8.632083333,neither,NA
XLOC_000115,0,gi|332018052|gb|EGI58676.1| Aladin,Acromyrmex echinatior,1384.121954,746.145853,637.9761006,108.1697524,all others,1,1,3.510416667,both,0.1191
XLOC_000117,2.84E-13,gi|332018399|gb|EGI58993.1| Ubiquitin carboxyl-terminal hydrolase 2,Acromyrmex echinatior,1154.289791,142.1769297,1012.112861,-869.9359313,all others,0,0,21.585,neither,NA
XLOC_000118,NA,,,139.3648154,46.67985506,92.68496032,-46.00510526,all others,0,0,1.62875,neither,NA
XLOC_000119,0,gi|332022486|gb|EGI62793.1| Paired amphipathic helix protein Sin3a,Acromyrmex echinatior,509.8982616,191.7639745,318.1342871,-126.3703126,all others,1,1,17.03833333,both,0.0481
XLOC_000120,NA,,,340.7334868,203.39913,137.3343568,66.06477317,all others,0,0,3.1275,neither,NA
XLOC_000123,NA,,,169.1409192,94.393435,74.74748424,19.64595075,all others,0,0,1.730416667,neither,NA
XLOC_000124,NA,,,207.0463515,69.22145947,137.824892,-68.60343252,all others,0,0,1.999166667,neither,NA
XLOC_000125,NA,,,321.4747055,177.8443168,143.6303887,34.21392812,all others,0,0,5.882916667,neither,NA
XLOC_000126,2.27E-111,gi|332023582|gb|EGI63817.1| Alpha-tocopherol transfer protein-like protein,Acromyrmex echinatior,176.5332421,55.12133363,121.4119085,-66.29057488,all others,1,0,15.85333333,Sinv only,0.1408
XLOC_000127,NA,,,132.2257181,60.15213698,72.07358107,-11.92144409,all others,0,0,1.81,neither,NA
XLOC_000128,3.67E-35,gi|330687193|gb|AEC32484.1| orcokinin precursor isoform B,Rhodnius prolixus,682.6934341,308.3904538,374.3029803,-65.9125265,forager,0,1,23.67333333,Amel only,NA
XLOC_000129,NA,,,259.8234425,138.623679,121.1997636,17.42391541,all others,0,0,1.182916667,neither,NA
XLOC_000130,NA,,,249.7090723,129.3319903,120.377082,8.954908365,all others,0,0,1.17125,neither,NA
XLOC_000131,NA,,,927.9730446,601.3948895,326.5781552,274.8167343,forager,0,0,10.90208333,neither,NA
XLOC_000133,NA,,,683.0872236,314.165066,368.9221576,-54.75709164,all others,0,0,66.195,neither,NA
XLOC_000134,7.72E-25,gi|307165887|gb|EFN60242.1| UPF0518 protein CG3558,Camponotus floridanus,163.6201437,55.19533411,108.4248096,-53.2294755,all others,0,0,1.534166667,neither,NA
XLOC_000136,NA,,,429.4880638,227.1099243,202.3781396,24.73178468,all others,0,0,1.662083333,neither,NA
XLOC_000137,2.90E-51,gi|307189075|gb|EFN73562.1| Lachesin,Camponotus floridanus,298.3311139,156.771513,141.5596009,15.21191212,all others,0,0,1.759583333,neither,NA
XLOC_000138,5.27E-76,gi|332023061|gb|EGI63326.1| Tuberin,Acromyrmex echinatior,252.874662,59.63873722,193.2359248,-133.5971876,all others,1,0,15.52958333,Sinv only,0.0708
XLOC_000139,NA,,,123.6511164,33.65988891,89.99122751,-56.3313386,all others,0,0,1.76625,neither,NA
XLOC_000140,0,gi|1542877|emb|CAA65152.1| orf,Drosophila melanogaster,373.8733443,125.407584,248.4657603,-123.0581763,all others,0,0,1.585833333,neither,NA
XLOC_000142,0,gi|307182241|gb|EFN69572.1| Serine/threonine-protein phosphatase alpha-1 isoform,Camponotus floridanus,1657.019964,968.0536126,688.9663515,279.087261,all others,0,1,70.06666667,Amel only,NA
XLOC_000143,NA,,,528.6802046,220.5521296,308.1280751,-87.57594552,all others,0,0,4.536666667,neither,NA
XLOC_000144,NA,,,264.3243852,133.6825799,130.6418053,3.040774604,all others,0,0,1.925833333,neither,NA
XLOC_000145,NA,,,92.1900878,30.13018291,62.05990489,-31.92972199,all others,0,0,11.6675,neither,NA
XLOC_000146,0,gi|307174719|gb|EFN65087.1| Xaa-Pro aminopeptidase 2,Camponotus floridanus,366.5914035,109.9375861,256.6538173,-146.7162312,nurse,1,1,5.312916667,both,0.2108
XLOC_000147,3.46E-115,gi|332021262|gb|EGI61646.1| Fructose-bisphosphate aldolase,Acromyrmex echinatior,197.91113,15.59902632,182.3121037,-166.7130773,all others,0,0,380.6725,neither,NA
XLOC_000148,1.74E-30,gi|195135806|ref|XP_002012323.1| GI14165,Drosophila mojavensis,638.3810112,294.4211183,343.959893,-49.5387747,all others,1,1,33.01916667,both,0.0825
XLOC_000149,1.16E-40,gi|332025728|gb|EGI65886.1| Prohormone-3,Acromyrmex echinatior,157.5654609,43.88299749,113.6824634,-69.79946588,all others,0,0,132.8633333,neither,NA
XLOC_000150,3.69E-27,gi|307191165|gb|EFN74863.1| G/T mismatch-specific thymine DNA glycosylase,Camponotus floridanus,565.0538762,363.1736952,201.8801809,161.2935143,forager,1,0,16.8675,Sinv only,0.2612
XLOC_000151,NA,,,1260.991824,700.7799345,560.2118897,140.5680447,all others,0,0,21.12666667,neither,NA
XLOC_000152,7.32E-50,"gi|307206057|gb|EFN84150.1| Phosphorylase b kinase gamma catalytic chain, skeletal muscle isoform",Harpegnathos saltator,170.271201,59.38610149,110.8850995,-51.49899799,all others,0,0,16.24875,neither,NA
XLOC_000153,2.79E-16,gi|332019407|gb|EGI59891.1| Trypsin inhibitor,Acromyrmex echinatior,659.0738392,239.8724701,419.2013691,-179.328899,all others,0,0,84.10083333,neither,NA
XLOC_000154,NA,,,1483.389441,863.5139226,619.8755187,243.6384038,all others,0,0,4.645833333,neither,NA
XLOC_000155,0,gi|307176637|gb|EFN66105.1| Probable exonuclease mut-7-like protein,Camponotus floridanus,1421.693134,914.9414436,506.7516907,408.1897529,forager,0,1,7.203333333,Amel only,NA
XLOC_000157,NA,,,111.8503201,19.54548647,92.30483364,-72.75934717,nurse,0,0,7.452083333,neither,NA
XLOC_000160,NA,,,79.1894678,31.87505275,47.31441505,-15.43936229,all others,0,1,8.39125,Amel only,NA
XLOC_000161,3.44E-13,gi|332018414|gb|EGI59008.1| Coiled-coil domain-containing protein,Acromyrmex echinatior,748.3438277,398.5000483,349.8437794,48.65626897,all others,0,0,5.2025,neither,NA
XLOC_000163,0,gi|332028956|gb|EGI68974.1| RING finger protein unkempt-like protein,Acromyrmex echinatior,1418.31796,866.918,551.3999598,315.5180402,all others,0,1,18.02666667,Amel only,NA
XLOC_000164,NA,,,134.3045277,37.09195896,97.21256872,-60.12060976,all others,0,0,17.23125,neither,NA
XLOC_000165,9.12E-171,gi|332018991|gb|EGI59530.1| Glycoprotein 3-alpha-L-fucosyltransferase A,Acromyrmex echinatior,149.3488877,53.17786053,96.17102716,-42.99316663,all others,1,1,6.9,both,0.1357
XLOC_000166,NA,,,460.2123171,234.4173609,225.7949562,8.62240467,all others,1,0,85.60083333,Sinv only,0.0336
XLOC_000167,2.18E-21,gi|269856295|gb|ACZ51430.1| GABA-gated chloride channel,Nasonia vitripennis,426.5879595,214.1410275,212.446932,1.694095518,all others,0,0,18.47083333,neither,NA
XLOC_000168,NA,,,347.344728,139.3751664,207.9695616,-68.59439512,all others,0,0,9.674583333,neither,NA
XLOC_000169,2.81E-39,gi|332028295|gb|EGI68342.1| Carnitinyl-CoA dehydratase,Acromyrmex echinatior,607.8118121,296.9528313,310.8589808,-13.90614948,all others,0,0,4.397083333,neither,NA
XLOC_000170,NA,,,500.5854911,272.1225134,228.4629777,43.65953571,all others,0,0,2.006666667,neither,NA
XLOC_000171,0,gi|307169188|gb|EFN62004.1| Protein lin-10,Camponotus floridanus,382.2307321,176.9069431,205.323789,-28.41684588,all others,0,1,12.58416667,Amel only,NA
XLOC_000172,2.40E-177,gi|332018164|gb|EGI58770.1| Eukaryotic translation initiation factor 3 subunit M,Acromyrmex echinatior,1694.529242,983.0626969,711.4665452,271.5961517,all others,1,1,22.11125,both,0.0106
XLOC_000173,5.73E-99,gi|218156313|ref|NP_001136166.1| lobe protein,Nasonia vitripennis,421.2642147,137.214092,284.0501226,-146.8360306,all others,0,1,23.02625,Amel only,NA
XLOC_000174,0,gi|307177326|gb|EFN66499.1| Niemann-Pick C1 protein,Camponotus floridanus,1275.458967,847.791479,427.6674879,420.1239911,forager,1,1,30.955,both,0.149
XLOC_000175,9.42E-123,gi|332019850|gb|EGI60311.1| DnaJ-like protein subfamily C member 9,Acromyrmex echinatior,371.6098692,54.76906096,316.8408083,-262.0717473,all others,1,1,165.60625,both,0.4496
XLOC_000176,0,gi|332025298|gb|EGI65469.1| Transmembrane 9 superfamily member 4,Acromyrmex echinatior,1537.618499,959.7543156,577.8641831,381.8901325,forager,1,1,35.20166667,both,0.0332
XLOC_000177,0,gi|332025839|gb|EGI65995.1| Down syndrome cell adhesion molecule-like protein,Acromyrmex echinatior,647.2808892,162.4099816,484.8709076,-322.460926,all others,0,1,11.94666667,Amel only,NA
XLOC_000178,0,gi|307183165|gb|EFN70075.1| Actin-like protein 6A,Camponotus floridanus,904.1419452,487.5338758,416.6080695,70.92580627,all others,1,0,2.323333333,Sinv only,0.1242
XLOC_000179,1.30E-149,gi|332024891|gb|EGI65079.1| Putative U3 small nucleolar RNA-associated protein 11,Acromyrmex echinatior,1226.581817,511.3275405,715.2542769,-203.9267364,all others,1,1,17.97291667,both,0.0246
XLOC_000180,1.95E-132,gi|307203271|gb|EFN82426.1| Battenin,Harpegnathos saltator,1474.529159,760.3709161,714.158243,46.21267303,forager,1,1,9.522083333,both,0.1595
XLOC_000181,1.51E-175,gi|307183163|gb|EFN70073.1| Putative ribosomal RNA methyltransferase 1,Camponotus floridanus,184.4052387,21.05169911,163.3535396,-142.3018404,all others,1,1,3.78625,both,0.0172
XLOC_000183,NA,,,109.9990061,22.56886354,87.43014253,-64.86127899,all others,0,0,1.255,neither,NA
XLOC_000184,NA,,,85.21170742,26.36148686,58.85022056,-32.48873369,all others,0,0,1.467083333,neither,NA
XLOC_000186,NA,,,186.0935187,62.92699724,123.1665214,-60.2395242,all others,0,0,2.245833333,neither,NA
XLOC_000187,1.12E-111,gi|332030889|gb|EGI70525.1| Myocyte-specific enhancer factor 2,Acromyrmex echinatior,812.7441432,212.6330881,600.111055,-387.4779669,forager,1,1,34.97875,both,0.1216
XLOC_000188,3.41E-81,gi|332022754|gb|EGI63029.1| Loss of heterozygosity 12 chromosomal region 1 protein-like protein,Acromyrmex echinatior,426.6461532,169.3394117,257.3067414,-87.96732966,all others,0,1,6.840416667,Amel only,NA
XLOC_000189,2.88E-145,gi|332022754|gb|EGI63029.1| Loss of heterozygosity 12 chromosomal region 1 protein-like protein,Acromyrmex echinatior,485.9829237,155.5791989,330.4037248,-174.8245259,nurse,1,1,88.9925,both,0.1047
XLOC_000190,0,gi|332030049|gb|EGI69874.1| Sugar transporter ERD6-like 8,Acromyrmex echinatior,1510.335817,822.8724528,687.4633646,135.4090881,all others,1,0,6.147083333,Sinv only,0.0678
